name,address,place_id,rating,reviews,price_level,website,arrondissement,street_name
le hibou,"16 carr de l'odéon, 75006 paris, france",ChIJcdW-rN5x5kcRBFdxGa1YqaE,3.9,2735,2.0,http://lehibou-paris.com/,6,carr de l'odéon
au vieux colombier,"65 rue de rennes, 75006 paris, france",ChIJ1V3sNddx5kcRIDSs0iZW-Qo,4.1,821,2.0,http://auvieuxcolombier.fr/,6,rue de rennes
"huguette, bistro de la mer","81 rue de seine, 75006 paris, france",ChIJZ6UXGNlx5kcRkussL8qcmrI,4.4,2114,,http://www.huguette-bistro.com/,6,rue de seine
the moose,"16 rue des quatre vents, 75006 paris, france",ChIJN1e5UNlx5kcRik_KAqtw33g,4.4,3180,2.0,https://www.mooseparis.com/,6,rue des quatre vents
la terrasse du 7ᵉ,"2 pl. de l'école militaire, 75007 paris, france",ChIJVSYy3CZw5kcRgGfNwyyALUU,4.1,3419,3.0,https://www.laterrassedu7.com/,7,pl. de l'école militaire
la fontaine de mars,"129 rue saint-dominique, 75007 paris, france",ChIJ_dBPoN9v5kcRt2CYxV1xzrM,4.4,2092,3.0,https://www.fontaine-de-mars.com/,7,rue saint-dominique
au canon des invalides,"54 rue saint-dominique, 75007 paris, france",ChIJ1dH4yNlv5kcR5FwibHpyH4g,4.3,1104,2.0,https://au-canon-des-invalides.fr/,7,rue saint-dominique
les antiquaires,"13 rue du bac, 75007 paris, france",ChIJ6ZOtmylu5kcRzJA4aL1ZYLI,4.4,5489,2.0,http://lesantiquaires.net/,7,rue du bac
brasserie des ministères,"43 rue vaneau, 75007 paris, france",ChIJ110igixw5kcRGfci3dhj2Jw,4.3,151,2.0,https://diaro.eatbu.com/,7,rue vaneau
le bourbon,"1 pl. du palais bourbon, 75007 paris, france",ChIJJwPbZ9Rv5kcREMRrnxugdmU,4.3,2016,2.0,https://www.brasserie-bourbon.fr/,7,pl. du palais bourbon
bistro saint dominique,"131 rue saint-dominique, 75007 paris, france",ChIJKaLFod9v5kcRuo0gHWkGfzE,3.9,2061,3.0,http://www.bistrostdominique.com/,7,rue saint-dominique
le campanella,"18 av. bosquet, 75007 paris, france",ChIJxbIlEt9v5kcRHG64Ggs96bs,4.3,2053,2.0,https://lecampanella.com/,7,av. bosquet
café des ministères,"83 rue de l'université, 75007 paris, france",ChIJ7ei1YNRv5kcRRf7j0QY-e2g,4.6,433,2.0,https://www.cafedesministeres.fr/,7,rue de l'université
"le bosquet, restaurant","46 av. bosquet, 75007 paris, france",ChIJPV6btiBw5kcRAGVdYBI4MMk,4.1,949,2.0,http://www.bosquetparis.com/,7,av. bosquet
les cocottes,"135 rue saint-dominique, 75007 paris, france",ChIJU5JgmN9v5kcRPHf9BJWJqZs,4.2,2270,2.0,https://lescocottes.paris/,7,rue saint-dominique
brasserie de la tour eiffel,"2 av. de la bourdonnais, 75007 paris, france",ChIJFZYqE-Fv5kcRSNght0m79x0,3.7,3830,2.0,https://www.brasserietoureiffel.com/,7,av. de la bourdonnais
carmine café,"73 av. de suffren, 75007 paris, france",ChIJWbxjGCJw5kcRkH3b0lzVfeI,4.1,1816,2.0,https://carmine-cafe.fr/,7,av. de suffren
cocorico,"5 rue du bac, 75007 paris, france",ChIJUcFddSlu5kcRGmJnxeLzvG8,4.4,2165,2.0,http://lecocorico.paris/,7,rue du bac
riviera fuga,"10 port des invalides, 75007 paris, france",ChIJRQJBH5Fv5kcRFXwf6qpaz6E,4.8,3619,3.0,https://www.fugafamily.com/restaurants/riviera-fuga,7,port des invalides
le drop café,"36 rue de bellechasse, 75007 paris, france",ChIJo7gmySpu5kcRrLli9_fw0bY,4.1,791,2.0,https://www.instagram.com/ledropcafe/,7,rue de bellechasse
le bistrot des fables,"139 rue saint-dominique, 75007 paris, france",ChIJF6AjH95v5kcRNgU_zgW_fd0,4.5,190,,https://bistrotdesfables.fr/,7,rue saint-dominique
café concorde,"239 bd saint-germain, 75007 paris, france",ChIJ7alhZc1v5kcRtxCVbfAr_6Q,4.1,1032,2.0,https://cafeconcorde.fr/,7,bd saint-germain
brasserie l’alsace,"39 av. des champs-élysées, 75008 paris, france",ChIJUWoNhMNv5kcRV_ttmJ0DYFw,4.2,10217,3.0,https://www.restaurantalsace.com/?utm_source=Google&utm_medium=GMB&utm_campaign=ALS&y_source=1_MTE2NjUxNzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,8,av. des champs-élysées
brasserie pastis,"87 bd haussmann, 75008 paris, france",ChIJNY8pn31v5kcRTzHkhdndvbw,4.5,3571,2.0,https://www.brasseriepastis.fr/,8,bd haussmann
elysee st honore... cafe ..restaurant,"205 rue du faubourg saint-honoré, 75008 paris, france",ChIJPRR7qchv5kcRdQn5CNgD8Ew,4.2,1900,3.0,http://lelyseesainthonore.com/,8,rue du faubourg saint-honoré
brasserie la lorraine,"2 pl. des ternes, 75008 paris, france",ChIJFx3-JZVv5kcRbNWpjSMXP7g,4.2,3615,3.0,https://www.brasserielalorraine.com//?utm_source=Google&utm_medium=GMB&utm_campaign=LOR&y_source=1_MTE2NjUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU=,8,pl. des ternes
le drugstore,"133 av. des champs-élysées, 75008 paris, france",ChIJgfoVfI5v5kcRddBtmdEkm18,4.6,3562,,http://restaurant-le-drugstore.com/,8,av. des champs-élysées
brasserie des champs,"122 av. des champs-élysées, 75008 paris, france",ChIJ5eNCoXZv5kcRzGv8MFahhys,3.6,2298,2.0,https://www.brasserie-des-champs.com/,8,av. des champs-élysées
brasserie fouquet's paris,"99 av. des champs-élysées, 75008 paris, france",ChIJb1MgBMJv5kcROFQGTJ9L6SA,4.2,4497,4.0,https://www.hotelsbarriere.com/collection-fouquet-s/paris/restaurants-et-bars/brasserie-fouquet-s-paris,8,av. des champs-élysées
le griffonnier,"8 rue des saussaies, 75008 paris, france",ChIJt8slps5v5kcRsaiKP9uhiCE,4.6,208,,https://www.legriffonnier.com/,8,rue des saussaies
brasserie lazare paris,"rue intérieure, 75008 paris, france",ChIJAbPJYTVu5kcRuFw8L6Iuy6M,4.1,2754,3.0,http://lazare-paris.fr/,8,intérieure
le bistro marbeuf,"21 rue marbeuf, 75008 paris, france",ChIJjZtAHsNv5kcRP99Tgp1gods,4.1,2342,2.0,http://bistromarbeuf.fr/,8,rue marbeuf
brasserie de l'europe (tabac),"11 rue de lisbonne, 75008 paris, france",ChIJZTmXMbZv5kcRoB2P9LZEo8I,4.3,185,2.0,https://www.brasseriedeleurope.fr/,8,rue de lisbonne
le george v,"1 av. george v, 75008 paris, france",ChIJbWkYat1v5kcRAmoF7XKI25Y,3.9,2594,2.0,http://www.legeorgevcafe.fr/,8,av. george v
le café de paris,"45 av. de friedland, 75008 paris, france",ChIJIXf-s-tv5kcRuUFrGADIzeM,3.9,2028,2.0,https://restaurant-lecafedeparis.com/,8,av. de friedland
le président,"59 av. franklin delano roosevelt, 75008 paris, france",ChIJuchRxcVv5kcRfPU8M3k9f9g,4.2,537,2.0,https://lepresident.paris/,8,av. franklin delano roosevelt
le mess,"16 rue des saussaies, 75008 paris, france",ChIJGwABUV5v5kcR6sukDbEnzgo,4.7,92,,https://www.lemessrestaurant.com/,8,rue des saussaies
beauvau saint-honoré,"4 rue des saussaies, 75008 paris, france",ChIJe-r2pM5v5kcRuS0poG54HDI,4.4,419,2.0,https://beauvau-saint-honore.eatbu.com/?lang=fr,8,rue des saussaies
triadou haussmann,"80 bd haussmann, 75008 paris, france",ChIJoRNc4jRu5kcRjIC3RtdeETc,3.8,2959,3.0,http://triadou-haussmann.fr/fr,8,bd haussmann
beaucour à la folie,"16 av. hoche, 75008 paris, france",ChIJC1qdWj5v5kcRh9VuT2Yzz5M,4.8,335,,https://www.cafebeaucourfolie.fr/,8,av. hoche
grand café capucines,"4 bd des capucines, 75009 paris, france",ChIJkx1IsDBu5kcRkKzFD4HjFMc,4.2,7500,3.0,https://www.legrandcafe.com//?utm_source=Google&utm_medium=GMB&utm_campaign=GCC&y_source=1_MTE2NjUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,9,bd des capucines
au petit riche,"25 rue le peletier, 75009 paris, france",ChIJiS_6Fjlu5kcRlTC1oqEVTac,4.4,1776,3.0,http://www.restaurant-aupetitriche.com/,9,rue le peletier
les fils à maman grands-boulevards,"7 bis rue geoffroy-marie, 75009 paris, france",ChIJazN5UT5u5kcRELPsC-EbGoQ,4.6,3211,2.0,https://www.lesfilsamaman.com/restaurants/paris-grands-boulevards/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,9,bis rue geoffroy-marie
restaurant la petite charlotte,"47 rue notre dame de lorette, 75009 paris, france",ChIJI4AbkjZv5kcRkQJhobocIk8,4.8,469,,https://lapetitecharlotterestaurant.fr/,9,rue notre dame de lorette
royal trinité,"59 rue de châteaudun, 75009 paris, france",ChIJ0Sj2LDZu5kcR8ZYTT2SRqk8,3.1,2426,2.0,http://leroyaltrinite.fr/,9,rue de châteaudun
chez gustave,"6 pl. gustave toudouze, 75009 paris, france",ChIJwb-HWkZu5kcRRpcuGRdMDYQ,4.2,607,,https://r.yonev.com/store/60,9,pl. gustave toudouze
les bacchantes,"21 rue de caumartin, 75009 paris, france",ChIJpT1j9zNu5kcRQ9Nz9W8sXwQ,4.3,967,2.0,http://www.lesbacchantes.fr/,9,rue de caumartin
le p'tit piano,"26 rue cadet, 75009 paris, france",ChIJg5DO-ypv5kcRLo19dFCDJ6w,4.7,1508,2.0,https://leptitpianobar.fr/,9,rue cadet
