url,matching_links
https://www.lefumoir.com/,https://lefumoir.com/wp-content/uploads/2021/10/bar-vins.pdf
https://lepetitcadet-paris.fr/fr,https://lepetitcadet-paris.fr/fr/services
https://lapetitecharlotterestaurant.fr/fr,/fr/menu
https://www.terminusnord.com//?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-30591,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-450263,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-425027,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=TN&y_source=1_MTE2NjUxODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#notre-carte"
https://bourgogne-sud-paris.fr/fr,https://bourgogne-sud-paris.fr/fr/services
https://www.lesrupins.fr/,"/menus-carte/,/photos/#a-la-carte"
https://www.floderer-paris.com/,"/nos-cartes,/saintvalentin,/s/04_04_24_Petit-dejeuner.pdf,/s/01_10_24_Carte-Principale_converted.pdf,/s/01_10_24_Carte-Principale-Brunch_converted.pdf,/s/01_10_24-MENU-BOISSONS.pdf"
http://www.lamaisonbleue.paris/,/la-carte-restaurant-paris-10-eme-arrondissement
https://wiicmenu-qrcode.com/app/offre.php?resto=243,#
https://www.brasserie-valma.fr/,"/menus-carte/,/menus-carte/#menu-456961,/menus-carte/#menu-456963"
https://www.theplaceto.paris/,#
https://www.brasserieaucomptoir.fr/,https://menuonline.fr/brasserieaucomptoir
https://www.bouillon-julien.com/,/menu
https://hoteldunord.org/,/menus
https://www.lescuivresparis.com/,https://userdocs.zenchef.com/353727/W9Uw3Fmvz1qtm9MiJNZEecSRAcbHlOlExJDoAmdA.pdf
https://www.privateaser.com/lieu/49290-le-royal-onze,https://www.google.com/maps/search/?api=1&query=110%20Rue%20du%20Chemin%20Vert%2075011%20Paris&query_place_id=ChIJMagSP_Ft5kcREhl8M4rMan0
https://www.larobedelagirafe.com/,"['/menus-carte/', '/menus-carte/#menu-446034', '/menus-carte/#menu-446036', '/menus-carte/#menu-446044', None]"
https://restaurantlescanailles.fr/en-salle/,https://restaurantlescanailles.fr/menu-de-la-semaine/
https://www.lecafecharbon.fr/,"#section-menu,https://www.restovisio.com/qrcode/menu/8776,https://www.restovisio.com/qrcode/menu/8907"
https://www.grandcafebataclan.fr,/carte
https://bistrotpaulbert.fr/,"/en#menu,https://cdn.giftshop.club/pd78mvhzile9qnpt9n32o64mg88m/BISTROT-PAUL-BERT-Carte-de-vins-selections-22-juin.pdf"
https://lescocottes.paris/,https://lescocottes.paris/wp-content/uploads/2024/02/cocottes_menu_a3_Q-2-vins.pdf
https://wiicmenu-qrcode.com/app/offre.php?resto=407,#
https://www.alabonnebiere.com/,#section-menu
https://falstaffcafe.fr/en,/en/menu
https://lapoulettedegrain.fr/fr,https://lapoulettedegrain.fr/fr/services
https://bistrotdupeintre.com/fr,https://bistrotdupeintre.com/fr/services
https://www.groupechouette.com/,#mainNav
https://bistrotdesfables.fr/,"https://bistrotdesfables.fr/wp-content/uploads/2024/10/carte-Septembre-2024.pdf,https://bistrotdesfables.fr/wp-content/uploads/2023/12/Carte-bistrot-des-fables.pdf"
https://www.lerepaire-restaurant.fr/,/menus-carte/
https://www.l-europeen.com/,https://www.l-europeen.com/la-carte/
https://www.privateaser.com/lieu/48970-Cafe-millesimes,https://www.google.com/maps/search/?api=1&query=88%20Rue%20de%20Picpus%2075012%20Paris&query_place_id=ChIJu8ikUVNz5kcRLq9L5LLFE5A
https://les-affranchis.paris/,https://les-affranchis.paris/carte/
https://www.privateaser.com/lieu/39408-le-val-royal,https://www.google.com/maps/search/?api=1&query=93%20Boulevard%20de%20Port-Royal%2075013%20Paris&query_place_id=ChIJg7TTM8Bx5kcR2Jo3OLzjLeM
https://wiicmenu-qrcode.com/app/restaurantWebSite.php?resto=914,"['', None]"
https://www.brasserie-lequai.fr,#menu
https://wiicmenu-qrcode.com/app/offre.php?resto=546,#
http://www.laudiernes.fr/,La-carte/
https://le-limousin-brasserie.fr/,"['/menu', '/menu-complet-plats-et-boissons', '/menu-boissons', None]"
https://www.privateaser.com/lieu/50254-brasserie-du-chateau,https://www.google.com/maps/search/?api=1&query=11%20Rue%20Didot%2075014%20Paris&query_place_id=ChIJFc0N4bRx5kcRPr25qaiadXk
https://bloomhouse-hotel.com/restaurant/,#elementor-action%3Aaction%3Dpopup%3Aopen%26settings%3DeyJpZCI6MTA2NTQsInRvZ2dsZSI6ZmFsc2V9
